"secuencial";"secCanton";"codigo";"nombre";"estaActivo"
5214;72;"53";"TONCHIGÜE";1
5215;72;"54";"TONSUPA";1
5216;73;"50";"RIOVERDE";1
5217;73;"51";"CHONTADURO";1
5218;73;"52";"CHUMUNDE ";1
5219;73;"53";"LAGARTO";1
5220;73;"54";"MONTALVO (CAB. EN HORQUETA) ";1
5221;73;"55";"ROCAFUERTE";1
5222;222;"50";"LA CONCORDIA";1
5223;74;"50";"GUAYAQUIL";1
5224;74;"52";"JUAN GOMEZ RENDON (PROGRESO) ";1
5225;74;"53";"MORRO";1
5226;74;"56";"POSORJA";1
5227;74;"57";"PUNA";1
5228;74;"58";"TENGUEL";1
5229;75;"50";"ALFREDO BAQUERIZO MORENO (JUJAN)";1
5230;76;"50";"BALAO";1
5231;77;"50";"BALZAR";1
5232;78;"50";"COLIMES";1
5233;78;"51";"SAN JACINTO";1
5234;79;"50";"DAULE";1
5235;79;"52";"JUAN BAUTISTA AGUIRRE (LOS TINTOS) ";1
5236;79;"53";"LAUREL";1
5237;79;"54";"LIMONAL";1
5238;79;"56";"LOS LOJAS (ENRIQUE BAQUERIZO MORENO)";1
5239;80;"50";"ELOY ALFARO (DURAN)";1
5240;81;"50";"VELASCO IBARRA (EL EMPALME)";1
5241;81;"51";"GUAYAS (PUEBLO NUEVO) ";1
5242;81;"52";"EL ROSARIO";1
5243;82;"50";"EL TRIUNFO";1
5244;83;"50";"MILAGRO";1
5245;83;"51";"CHOBO";1
5246;83;"53";"MARISCAL SUCRE (HUAQUES)";1
5247;83;"54";"ROBERTO ASTUDILLO (CAB. EN CRUCE DE VENECIA) ";1
5248;84;"50";"NARANJAL";1
5249;84;"51";"JESUS MARIA";1
5250;84;"52";"SAN CARLOS";1
5251;84;"53";"SANTA ROSA DE FLANDES";1
5252;84;"54";"TAURA";1
5253;85;"50";"NARANJITO";1
5254;86;"50";"PALESTINA";1
5255;87;"50";"PEDRO CARBO";1
5256;87;"51";"VALLE DE LA VIRGEN ";1
5257;87;"52";"SABANILLA";1
5258;88;"50";"SAMBORONDON";1
5259;88;"51";"TARIFA";1
5260;89;"50";"SANTA LUCIA";1
5261;90;"50";"EL SALITRE (LAS RAMAS)";1
5262;90;"51";"GRAL. VERNAZA (DOS ESTEROS) ";1
5263;90;"52";"LA VICTORIA (ÑAUZA)";1
5264;90;"53";"JUNQUILLAL";1
5265;91;"50";"SAN JACINTO DE YAGUACHI";1
5266;91;"53";"GRAL. PEDRO J. MONTERO (BOLICHE) ";1
5267;91;"55";"YAGUACHI VIEJO (CONE)";1
5268;91;"56";"VIRGEN DE FATIMA";1
5269;92;"50";"GENERAL VILLAMIL (PLAYAS)";1
5270;93;"50";"SIMON BOLIVAR";1
5271;93;"51";"CRNEL.LORENZO DE GARAICOA (PEDREGAL)";1
5272;94;"50";"CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)";1
5273;95;"50";"LOMAS DE SARGENTILLO";1
5274;96;"50";"NARCISA DE JESUS";1
5275;97;"50";"GENERAL ANTONIO ELIZALDE (BUCAY)";1
5276;98;"50";"ISIDRO AYORA";1
5277;99;"50";"SAN MIGUEL DE IBARRA";1
5278;99;"51";"AMBUQUI";1
5279;99;"52";"ANGOCHAGUA";1
5280;99;"53";"CAROLINA";1
5281;99;"54";"LA ESPERANZA";1
5282;99;"55";"LITA";1
5283;99;"56";"SALINAS";1
5284;99;"57";"SAN ANTONIO";1
5285;100;"50";"ATUNTAQUI";1
5286;100;"51";"IMBAYA (SAN LUIS DE COBUENDO) ";1
5287;100;"52";"SAN FRANCISCO DE NATABUELA";1
5288;100;"53";"SAN JOSE DE CHALTURA";1
5289;100;"54";"SAN ROQUE";1
5290;101;"50";"COTACACHI";1
5291;101;"51";"APUELA";1
5292;101;"52";"GARCIA MORENO  (LLURIMAGUA) ";1
5293;101;"53";"IMANTAG";1
5294;101;"54";"PEÑAHERRERA";1
5295;101;"55";"PLAZA GUTIERREZ";1
5296;101;"56";"QUIROGA";1
5297;101;"57";"6 DE JULIO DE CUELLAJE (CAB. EN CUELLAJE)";1
5298;101;"58";"VACAS GALINDO (EL CHURO) (CAB.EN SAN MIGUEL ALTO)";1
5299;102;"50";"OTAVALO";1
5300;102;"51";"DR. MIGUEL EGAS CABEZAS (PEGUCHE) ";1
5301;102;"52";"EUGENIO ESPEJO (CALPAQUI) ";1
5302;102;"53";"GONZALEZ SUAREZ";1
5303;102;"54";"PATAQUI";1
5304;102;"55";"SAN JOSE DE QUICHINCHE ";1
5305;102;"56";"SAN JUAN DE ILUMAN";1
5306;102;"57";"SAN PABLO";1
5307;102;"58";"SAN RAFAEL";1
5308;102;"59";"SELVA ALEGRE (CAB.EN SAN MIGUEL DE PAMPLONA)";1
5309;103;"50";"PIMAMPIRO";1
5310;103;"51";"CHUGA";1
5311;103;"52";"MARIANO ACOSTA";1
5312;103;"53";"SAN FRANCISCO DE SIGSIPAMBA";1
5313;104;"50";"URCUQUI";1
5314;104;"51";"CAHUASQUI";1
5315;104;"52";"LA MERCED DE BUENOS AIRES";1
5316;104;"53";"PABLO ARENAS";1
5317;104;"54";"SAN BLAS";1
5318;104;"55";"TUMBABIRO";1
5319;105;"50";"LOJA";1
5320;105;"51";"CHANTACO";1
5321;105;"52";"CHUQUIRIBAMBA";1
5322;105;"53";"EL CISNE";1
5323;105;"54";"GUALEL";1
5324;105;"55";"JIMBILLA";1
5325;105;"56";"MALACATOS (VALLADOLID) ";1
5326;105;"57";"SAN LUCAS";1
5327;105;"58";"SAN PEDRO DE VILCABAMBA";1
5328;105;"59";"SANTIAGO";1
5329;105;"60";"TAQUIL (MIGUEL RIOFRIO)";1
5330;105;"61";"VILCABAMBA  (VICTORIA)";1
5331;105;"62";"YANGANA (ARSENIO CASTILLO)";1
5332;105;"63";"QUINARA";1
5333;106;"50";"CARIAMANGA";1
5334;106;"51";"COLAISACA";1
5335;106;"52";"EL LUCERO";1
5336;106;"53";"UTUANA";1
5337;106;"54";"SANGUILLIN";1
5338;107;"50";"CATAMAYO (LA TOMA)";1
5339;107;"51";"EL TAMBO";1
5340;107;"52";"GUAYQUICHUMA";1
5341;107;"53";"SAN PEDRO DE LA BENDITA";1
5342;107;"54";"ZAMBI";1
5343;108;"50";"CELICA";1
5344;108;"51";"CRUZPAMBA (CAB. EN CARLOS BUSTAMANTE)";1
5345;108;"55";"POZUL (SAN JUAN DE POZUL)";1
5346;108;"56";"SABANILLA";1
5347;108;"57";"TNTE. MAXIMILIANO RODRIGUEZ LOAIZA ";1
5348;109;"50";"CHAGUARPAMBA";1
5349;109;"51";"BUENAVISTA";1
5350;109;"52";"EL ROSARIO";1
5351;109;"53";"SANTA RUFINA";1
5352;109;"54";"AMARILLOS";1
5353;110;"50";"AMALUZA";1
5354;110;"51";"BELLAVISTA";1
5355;110;"52";"JIMBURA";1
5356;110;"53";"SANTA TERESITA";1
5357;110;"54";"27 DE ABRIL (CAB. EN LA NARANJA) ";1
5358;110;"55";"EL INGENIO";1
5359;110;"56";"EL AIRO";1
5360;111;"50";"GONZANAMA";1
5361;111;"51";"CHANGAIMINA (LA LIBERTAD) ";1
5362;111;"53";"NAMBACOLA";1
5363;111;"54";"PURUNUMA (EGUIGUREN) ";1
